Fri Mar 14 18:26:39 2025    financial.prof

         375451 function calls (373536 primitive calls) in 1.899 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      301    1.448    0.005    1.448    0.005 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.102    0.102    0.102    0.102 {built-in method _socket.getaddrinfo}
        1    0.080    0.080    0.080    0.080 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.074    0.074    0.074    0.074 {method 'connect' of '_socket.socket' objects}
     2692    0.013    0.000    0.064    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/html/parser.py:301(parse_starttag)
       81    0.010    0.000    0.010    0.000 {method 'read' of '_io.BufferedReader' objects}
    22214    0.010    0.000    0.010    0.000 {method 'match' of 're.Pattern' objects}
        2    0.008    0.004    0.104    0.052 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/html/parser.py:134(goahead)
      259    0.005    0.000    0.005    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     2692    0.004    0.000    0.026    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/__init__.py:987(handle_starttag)
     2692    0.004    0.000    0.007    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/builder/__init__.py:382(_replace_cdata_list_attribute_values)
        1    0.004    0.004    0.004    0.004 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     5634    0.003    0.000    0.015    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/__init__.py:826(endData)
     2692    0.003    0.000    0.031    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/builder/_htmlparser.py:142(handle_starttag)
     2542    0.003    0.000    0.019    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/html/parser.py:379(parse_endtag)
     8123    0.003    0.000    0.003    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/element.py:376(setup)
     2693    0.003    0.000    0.011    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/element.py:1618(__init__)
    105/2    0.003    0.000    0.034    0.017 {built-in method builtins.exec}
    13572    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
     8061    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
       81    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
      261    0.002    0.000    1.475    0.006 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/httpcore/_sync/http11.py:209(_receive_event)
     2715    0.002    0.000    0.004    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/element.py:1291(__new__)
    10745    0.002    0.000    0.004    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/_markupbase.py:44(updatepos)
        1    0.002    0.002    0.002    0.002 {built-in method _scproxy._get_proxies}
    19190    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
