Fri Mar 14 15:55:23 2025    financial.prof

         312273 function calls (312109 primitive calls) in 6.743 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.005    5.005    5.005    5.005 {built-in method time.sleep}
      295    1.331    0.005    1.331    0.005 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.116    0.116    0.116    0.116 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.097    0.097    0.097    0.097 {method 'connect' of '_socket.socket' objects}
        1    0.058    0.058    0.058    0.058 {built-in method _socket.getaddrinfo}
     2692    0.012    0.000    0.065    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/html/parser.py:301(parse_starttag)
    22096    0.010    0.000    0.010    0.000 {method 'match' of 're.Pattern' objects}
        2    0.009    0.004    0.107    0.053 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/html/parser.py:134(goahead)
       38    0.005    0.000    0.005    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     2692    0.005    0.000    0.007    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/builder/__init__.py:382(_replace_cdata_list_attribute_values)
     2692    0.005    0.000    0.028    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/__init__.py:987(handle_starttag)
     5634    0.004    0.000    0.016    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/__init__.py:826(endData)
     2542    0.003    0.000    0.020    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/html/parser.py:379(parse_endtag)
     2692    0.003    0.000    0.033    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/builder/_htmlparser.py:142(handle_starttag)
     8123    0.003    0.000    0.003    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/element.py:376(setup)
