Fri Mar 14 15:57:28 2025    financial.prof

         312307 function calls (312143 primitive calls) in 2.373 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      299    1.915    0.006    1.915    0.006 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.108    0.108    0.108    0.108 {built-in method _socket.getaddrinfo}
        1    0.107    0.107    0.107    0.107 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.101    0.101    0.101    0.101 {method 'connect' of '_socket.socket' objects}
     2692    0.012    0.000    0.067    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/html/parser.py:301(parse_starttag)
    22096    0.011    0.000    0.011    0.000 {method 'match' of 're.Pattern' objects}
        2    0.009    0.004    0.110    0.055 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/html/parser.py:134(goahead)
       38    0.006    0.000    0.006    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     2692    0.005    0.000    0.008    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/builder/__init__.py:382(_replace_cdata_list_attribute_values)
     2692    0.005    0.000    0.029    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/__init__.py:987(handle_starttag)
     5634    0.004    0.000    0.016    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/__init__.py:826(endData)
     2692    0.003    0.000    0.034    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/builder/_htmlparser.py:142(handle_starttag)
     2542    0.003    0.000    0.021    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/html/parser.py:379(parse_endtag)
     8123    0.003    0.000    0.003    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/element.py:376(setup)
     2693    0.003    0.000    0.013    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/element.py:1618(__init__)
    13298    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
        1    0.003    0.003    0.003    0.003 {built-in method _scproxy._get_proxy_settings}
     8050    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
    10745    0.002    0.000    0.004    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/_markupbase.py:44(updatepos)
     2715    0.002    0.000    0.004    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/element.py:1291(__new__)
